카테고리,제목,설명
회사 소개, 기프리(Gifree)란?, "기프리(Gifree)는 사용하지 않는 모바일 기프티콘을 필요한 사람에게 안전하고 편리하게 판매하고 구매할 수 있는 국내 최고의 중고 기프티콘 거래 플랫폼입니다."
회사 소개, 기프리의 비전, "저희 기프리는 잠자고 있는 기프티콘에 새로운 가치를 부여하여 자원의 낭비를 막고, 합리적인 소비 문화를 만들어가는 것을 목표로 합니다."
회사 소개, 기프리의 특징, "1. 안전 거래 시스템: 모든 거래는 사기 위험을 최소화하는 에스크로 방식으로 보호됩니다. 2. 빠른 정산: 판매 대금은 판매 확정 후 1~2일 내에 빠르게 입금됩니다. 3. 다양한 상품: 카페, 영화, 쇼핑 등 국내 대부분의 브랜드 기프티콘을 거래할 수 있습니다."
판매 방법,기프티콘 판매 절차,"1. 회원가입 또는 로그인 → 2. 기프티콘 정보 입력 (브랜드, 바코드, 유효기간 등) → 3. 가격 설정 → 4. 검토 및 등록 → 5. 판매 완료 시 알림 및 정산 요청"
판매 방법,판매 가능한 기프티콘 종류,"음식/카페/영화/편의점/쇼핑몰/도서 등 대부분 가능, 단 사용 불가 상품(예: 사용완료, 기간만료)은 등록 불가"
판매 방법,기프티콘 유효기간 기준,"등록 시 유효기간이 최소 5일 이상 남아 있어야 하며, 일부 브랜드는 7일 이상 요구됨"
판매 방법,기프티콘 판매 수수료,"판매 금액의 5~10% (브랜드 및 프로모션에 따라 상이), 정산 시 자동 차감"
판매 방법,판매 승인 소요 시간,"등록 후 1~6시간 내 관리자 검토 → 승인 또는 반려 (업무시간 기준)"
이용 가이드,기프리 회원가입 방법,"이메일 인증 또는 카카오/네이버 소셜 로그인으로 간편 가입 가능"
이용 가이드,마이페이지 기능,"내 판매 내역, 구매 내역, 정산 신청, 판매중/판매완료 상품 관리, 문의사항 확인 가능"
이용 가이드,정산 방법 및 일정,"판매 확정 후 ‘정산 요청’ 클릭 → 등록된 계좌로 평일 기준 1~2일 내 입금"
이용 가이드,정산 가능한 최소 금액,"1,000원 이상부터 가능. 수수료 차감 후 기준 금액 충족해야 신청 가능"
이용 가이드,개인정보 보호,"바코드, 전화번호 등 민감정보는 암호화 처리되며 외부에 공개되지 않음"
FAQ,기프티콘 등록했는데 승인 반려된 이유,"- 기프티콘 정보 누락 또는 오기재\n- 유효기간 부족\n- 등록 불가 브랜드\n- 중복 등록 의심 등"
FAQ,판매 취소 가능한가요?,"판매 상태가 ‘대기중’일 경우 직접 취소 가능. ‘판매완료’ 이후 취소 불가"
FAQ,기프티콘을 구매한 사람이 사용 후 환불 요청하면?,"바코드 사용기록 확인 후 이중 사용 등 문제 발생 시 관리자 판단하에 환불 또는 판매자 정산 보류 처리"
FAQ,사기 피해가 우려돼요,"모든 거래는 플랫폼 내 검수 과정을 거쳐 진행되며, 구매자는 바로 사용 가능하도록 바코드 전달 시스템으로 설계되어 사기 위험 최소화"
FAQ,기프티콘 이미 사용된 걸 등록하면 어떻게 되나요?,"사용된 상품 판매 시 계정 정지 및 법적 책임(전자상거래법 및 사기죄 등) 발생 가능"
FAQ,브랜드명이 목록에 없어요,"일부 브랜드는 현재 미지원이며 고객센터를 통해 수동 등록 요청 가능"
FAQ,기프티콘 사용처를 몰라요,"상품 상세 페이지 또는 등록 시 입력된 브랜드 설명에 사용처 링크 및 매장 안내 포함됨"
구매자 가이드,기프티콘 구매 방법,"1. 원하는 상품 선택 → 2. 바코드 즉시 확인 또는 문자 수신 선택 → 3. 결제 진행 (카카오페이, 계좌이체 등)"
구매자 가이드,구매 후 기프티콘 수령 방법,"구매 즉시 기프리 앱/사이트 내 마이페이지에서 바코드 확인 또는 문자로 전송"
구매자 가이드,구매한 기프티콘 유효기간 확인,"상품 페이지 또는 마이페이지 내에서 유효기간 명시, 사용 전 확인 필수"
브랜드 정책,일부 브랜드 환불 불가,"일부 브랜드(예: 스타벅스, 이디야)는 구매 후 환불 불가. 상세 브랜드 정책은 상품 페이지 참고"
브랜드 정책,브랜드에 따라 사용처 제한,"일부 기프티콘은 오프라인 전용 또는 일부 매장에서만 사용 가능"
정책 안내,부정행위 및 신고 대응,"이중등록, 도용, 중고 기프티콘 재판매 등 부정행위 적발 시 즉시 계정 정지 및 형사고발 조치 가능"
정책 안내,신고 방법,"상품 상세 페이지 또는 마이페이지 > 거래내역에서 신고 버튼을 통해 관리자에게 바로 접수 가능"
정책 안내,계정 정지 사유,"반복적인 승인 반려, 타인 명의 사용, 사기성 판매 시 계정 정지 및 이용 제한 처리됨"
이벤트/프로모션,신규 가입 이벤트,"회원 가입 시 1,000원 상당 포인트 즉시 지급 (1회 한정)"
이벤트/프로모션,첫 판매 이벤트,"첫 판매 성공 시 추가 정산 보너스 5% 지급"
이벤트/프로모션,친구 초대 이벤트,"초대받은 친구가 가입 시 두 사람 모두 포인트 500원 적립"
